426;Trono di Spade;Il.Trono.Di.Spade.8x04.L.Ultimo.Degli.Stark.ITA.WEBMux.x264-UBi.mkv
427;Trono di Spade;Il.Trono.Di.Spade.8x06.Il.Trono.Di.Spade.ITA.WEBMux.x264-UBi.mkv
428;Trono di Spade;Il.Trono.Di.Spade.1x10.Fuoco.E.Sangue.iTALiAN.HDTVMux-DarkSideMux.forced.srt
429;Trono di Spade;Il.Trono.Di.Spade.1x05.Il.Lupo.E.Il.Leone.iTALiAN.HDTVMux-DarkSideMux.avi
430;Trono di Spade;Il.Trono.Di.Spade.1x02.La.Strada.Del.Re.iTALiAN.HDTVMux-DarkSideMux.forced.srt
431;Trono di Spade;Il.Trono.Di.Spade.1x09.La.Confessione.iTALiAN.HDTVMux-DarkSideMux.avi
432;Trono di Spade;Il.Trono.Di.Spade.1x10.Fuoco.E.Sangue.iTALiAN.HDTVMux-DarkSideMux.avi
433;Trono di Spade;Il.Trono.Di.Spade.1x03.Lord.Snow.iTALiAN.HDTVMux-DarkSideMux.avi
434;Trono di Spade;Il.Trono.Di.Spade.2x08.Il.Principe.Di.Grande.Inverno.ITA_ENG.DLMux.XviD-Pir8.it.srt
435;Trono di Spade;400110-SpiderMan.No.Way.Home.2021.iTALiAN.MD.720p.HDCAM.x264WRS.mkv.mp4
436;Trono di Spade;Il.Trono.Di.Spade.2x01.Il.Nord.Non.Dimentica.ITA_ENG.DLMux.XviD-Pir8.avi
437;Trono di Spade;Il.Trono.Di.Spade.2x04.Il.Giardino.Di.Ossa.ITA_ENG.DLMux.XviD-Pir8.en.srt
438;Trono di Spade;Il.Trono.Di.Spade.2x04.Il.Giardino.Di.Ossa.ITA_ENG.DLMux.XviD-Pir8.srt
439;Trono di Spade;Il.Trono.Di.Spade.2x05.Il.Fantasma.Della.Fortezza.ITA_ENG.DLMux.XviD-Pir8.avi.it.srt
440;Trono di Spade;Il.Trono.Di.Spade.2x06.Vecchi.E.Nuovi.Dei.ITA_ENG.DLMux.XviD-Pir8.it.srt
441;Trono di Spade;Il.Trono.Di.Spade.2x10.Chiunque.Puo.Essere.Ucciso.ITA_ENG.DLMux.XviD-Pir8.it.srt
442;Trono di Spade;Il.Trono.Di.Spade.6x05.Il.Tempo.E.Giunto.ITA.DLMux.x264-NovaRip.mkv
443;Trono di Spade;Il.Trono.Di.Spade.6x08.Nessuno.ITA.DLMux.x264-NovaRip.mkv
444;Trono di Spade;Il.Trono.Di.Spade.3x01.Valar.Dohaeris.iTALiAN.DLMux.x264-UBi.forced.srt
445;Trono di Spade;Il.Trono.Di.Spade.3x04.E.Ora.La.Sua.Guardia.E.Conclusa.iTALiAN.DLMux.x264-UBi.forced.srt
446;Trono di Spade;Il.Trono.Di.Spade.3x04.E.Ora.La.Sua.Guardia.E.Conclusa.iTALiAN.DLMux.x264-UBi.mp4
447;Trono di Spade;Il.Trono.Di.Spade.3x05.Baciata.Dal.Fuoco.iTALiAN.DLMux.x264-UBi.forced.srt
448;Trono di Spade;Il.Trono.Di.Spade.3x05.Baciata.Dal.Fuoco.iTALiAN.DLMux.x264-UBi.mp4
